model,epoch,time_s,loss
standard,1,871.5864341259003,4.675462082672119
standard,2,858.3108897209167,4.396688580322266
standard,3,855.6915411949158,4.310728954642159
standard,4,847.3399753570557,4.261053168160575
standard,5,857.6848726272583,4.22523154978071
wavelet_ar,1,478.34011578559875,4.784051111711775
wavelet_ar,2,485.3029136657715,4.597113126373291
wavelet_ar,3,487.28310894966125,4.531867470768519
wavelet_ar,4,485.45991587638855,4.475355646950858
wavelet_ar,5,477.8080241680145,4.440080339758737
